Performance,Lost/Won,Conversation Segment,Transcript,Comp_Score,Pos_Score,Neg_Score,Neu_Score
high,won,company product, and company nothing is prebuilt so for one company looking at the actual questions that users are asking them this data and then make your recommendation so here it means lots of users are asking about thompson memorial specifically so company saying hey you might wanna take a look at this,0.0,0.0,0.0,1.0
high,won,demo,sales engineer your peers are asking questions about it we can just quickly click and weve got a new filter there additionally this is the beginning of search where i know about something very specific in my data that i want to ask about and i can just begin typing so i dont have to worry about where the data what field does removed and just like i would go on third party vendor and begin typing i can do that here dashboard is hey i wanna i wanna dive in deeper here and i want to drill down and again the theme is that theres not a predefine way i have to go so as a user here i can drill to any direction to any level of granularity data drill down ends sales engineer of course there are some guardrails that we put up and well talk about that when we get to the back end but its given usability the user the ability to go wherever they want within this dataset here hi name this isclientsales engineerremoved   removed just a jumping off point where we have a dashboard and company rather than hitting a wall we can alter and augmented with a lot of flexibility,0.8922,0.084,0.0,0.916
high,won,about company,sales engineer the flip side and really the core of company though is search and thats where hey i have a brand new question its not in the dashboard i wanna just free form ask it like i would go on third party vendor or third party vendor to find something so lets start with a high level question,0.8807,0.183,0.0,0.817
high,won,demo,sales engineer i wanna see how many removed we have by specialty and youll see as im typing here company making suggestions so as i type its its not just looking at the columns and names and my data but its actually every individual value and this is that search index that account executive mentioned behind the scenes data drill down sales engineer is as im typing company to making suggestions so i dont have to go looking for a specific field i know i have something very specific in mind that im looking for and im just gonna start typing lets say i wanna look at this on a monthly basis,0.4767,0.029,0.0,0.971
high,won,company product,sales engineer at any point lets say hey this is interesting i want to create my own dashboard here im gonna save this off and ive just added it to share with other people ill pause here any questions so farname i have a quick question here this is may have so many of put things in your search bar here data management  functions name we might have different definition of the things where people are writing here does it show here like from which table its grabbing the spear dotcom i just showremoved   removedthe underlying data source heresales engineer yeah yeah good good question a couple of things there well talk a little bit more about this when we actually walkthrough connecting to third party vendor but on the left here this care provider this is whats called a worksheet so this is how the scope of what were searching on is defined okay okaynamesales engineer to me as an end user i have no idea what tables these are this is one table this is  tables what the scheme is because im a business person and i dont care now behind the scenes in this case its actually five tables and star schemer data management  functions ends sales engineer so all of this combined to get to a point where its single and clean to the end user and well well talk about what that actually looks like to to build thatname it will be always based on one subject on the left hand side and then youll put your question and all those questions should be alerted to that subject good provided in this case its not searching a whole third party vendor what it back its just searching that area or do you need differentsales engineer yeah its not just an open search bar to third party vendor whatever i find in the scope okay the worksheet yes sounds good thank younamesales engineer cool good question so so lets say as this user im curious about what happened in march and removed where the most removed there and i wanna dig in further and again we can go wherever we want to hear so i could say i want to jump to the removed level and then within thompson memorial i want to drill down to the trackremoved   removed sure level im just kind ofclientsales engineer,0.9979,0.219,0.011,0.771
high,won,demo, iterating asking the next question and then maybe im curious about just three admitted removed and again i can just type that in search weve found these  yourself removed and i like more of a tabular view so ill pop over here and then we can get some more details about exactly what was going data drill down ends sales engineer so we can say whats the patient name what are the outstanding tests whats their h group and what was their pre release risk so im starting with this really highlevel question and drill down added things to my search and ive got to the point where i found the  removed,0.5398,0.087,0.049,0.864
high,won,company product,sales engineer maybe i want to sort by who are the youngest ones and we found exactly who these folks are getting maybe i find this interesting so ill send this off to my dashboard and part of whats allowing this to happen is that company is not pre aggregating data or forcing you to create any cubes beforehand,0.2284,0.103,0.057,0.839
high,won,demo,sales engineer we want to connect to whatever the most granular relational data you have in third party vendor so whether its the encounter level the prescription level whatever that most granular thing is connect with that and company and then you can allow users to get to start with that high level question and then drill down to something super granular like this where i found that individual practitioner or a patient level type thing data drill down ends sales engineer so thats one question lets lets do something a little bit more advanced here and im curious about our average length of stay well look at it on a weekly basis and previously there were a lot of heart failure related removed that we had foundremoved   removedand im curious about who are my top doctors that have removed with heart failure of risk and whats the average length of stay for that particular cohort of customers lets say i wanna look at my practitioner and i just care about this top five practitioner if i could spell practitioner and im just curious about heart failure and i wanna see just the top five based on patient count so something pretty data drill down account executivesales engineer simple looking in search we look at whats going on behind the scenes is company is actually constructed fairly sophisticated sequel where its cohort of this out create a sub query and we can find something here where it looks like there was actually a spike at the end of removed for average length of stay for that particular cohort,0.9767,0.15,0.041,0.809
high,won,company product,sales engineer so thats the fairly simple question ive asked a little bit more advanced question i also want to have company help with my analysis here so lets say were looking at heart failure read minutes  days and i wanna look at it hi h group now of course we continue to drill down and figure out okay ill be  plus removed what was their risk what are they over survey scores et cetera et cetera we can also have company help with this analysis so im gonna kick this off and what its doing behind the scenes is it slicing and dicing every possible combination here and then running algorithms on top of that outlier detection looking for trends looking for correlations and figuring out what it is statistically significant in this data so wasnt a particular combination of prerelease risk and location and occupation that had significantly higher length of stay or whatever that outlier insight is and what that results into something like this where company whats the data found  insights on four and a half  rows so pretty small data set but for example it said hey for this particular each group this particular provider had higher significantly higher average exit scores then everything else company product ends sales engineer and as i scroll through here theres a variety of incentives for this h group removed had significantly higher  days readmit then any other specialclientremoved   removed kind of corrections on these its like we had youre dealing with a group that was doing something similar or is it in a very like constrained data domain right where theyre like okay so what are the outliers or just people are doing significantly better or worse for cost for a certain procedure and then like okay what are the things that theyre doing that are different right like what are the components of the of the surgery that theyre like the the hardware that theyre using or whatever the supplies theyre using company product client that seems to make a difference and the the point that that we struggled with was this group is just like look youre all these statistically significant results or like yeah but i mean like if you cast a net over like just competent name youll space right you feel like removed possible combinations youre gonna find a bunch of stuff even incomplete noise so like respond was there i guess whats thesales engineerclient so the question what are your thoughts about that right like how to make sure youre not surfacing clientsales engineer gotcha so so just to level set this is not meant to be like a full on machine learning data science replacement its really meant to give the business some direction to things that might be interesting so with all of this in terms of correction the the primary way for a non technical person would be to provide that feedback so that initial run there might be some noise because company is never received feedback on prompt data so we can say hey this is actually not interesting because we already know that is always going to be an outlier or whatever the feedback that youre giving it is the only other really thing you would do is for the more statistically advanced people is it just tuning some of these knobs to say hey we only consider something significant when the key value is point one company product ends sales engineer and i point out five or whatever those knobs would be those are some initial thoughts trust and i imagine youre doing some pretty deep data science stuff so wed love your feedback on just that initial stuffclientremoved   removed i mean i i the the the blind search thing is like a problem but i i i respect that i think that the way that youre doing it would be like yeah thats not an appropriate thing to think about is probably the best way to just like surfacing it and getting in front of people but i still i still where like the you know the bond for any corrections a good example of like a way of like this is how many things that were looking at so were gonna make sure that we only surface things that account for you know there that are more rare than we would expect given the fact that were doing this many comparisons or something but thats thats the kind of stuff that seems like those are like i current best ideas,0.9993,0.198,0.027,0.774
high,won,company product,sales engineer gotcha yeah its good feedback and and trust in at some point i probably makes sense to connect you and whoever else is interested with even like our co founders who were really deep on this part of our products at the end of the day that the core of company is search and allowing users to get the start of the quick add hawk questions search types ends sales engineer and this is really so bonus but its that second leg thats thats hey we want to go beyond search and get some like dip our toes into something thats more statistical stuffname hey i have a quick question before you go further so when we work on third party vendor right search types name we we also have like a qa feature there so once we make our data set like we can turn on that queue and name and then what i would it be or i think the right keywords it can search that data set and like get us answers to the questions what we are writing search types ends name so im just wondering how that differs from company as providing here and thumbs up in the future if you have used that probably be a qa featureremoved   removedsales engineerhey i saw you come off mute there if you want to respond and i tend toaccount executiveyeah sure is it pronounced me,0.9828,0.138,0.0,0.862
high,won,about company,account executivehuh is that correct yeah basically a good question theres a handful of companies that have added search to their platforms over time since company came into the market theyre really to address the the gap that they had as company pursued search and was having a lot of success is the biggest difference youre gonna find is from a performance perspective company is very is very much the leader in that space of returning quick answers at the most granular level and it also requires significantly less setup from what weve heard we can also bring in we have a an expert that evaluates all technologies and we just had a presentation last week on third party vendor version of search so happy to to bring them in to share some of the differences as well sales engineer any additional thoughts you have yeahsales engineer yeah i kinda put third party vendor q and a and the same bucket as as third party vendor last data how was that third party vendor before before coming over to company search types sales engineer and yes they do have search but from what weve seen from customers its not truly something that users are using in production to ask real business value question so its kind of an add on module that really company core and our philosophy is that searches the way to go and and not necessarily focused on the dashboarding side as much about company sales engineer so we have large customers that use the tool is very complementary and its kinda that best of breed do your dashboarding true traditional stuff and third party vendor third party vendor and then for the ad hoc you company yeah and okaynameremoved   removed search types name hi this is name might might it also be the case that for those for those other search features and those other tools the scope of that search is going to be limited to whats been designed and built within that specific application so like in the case of third party vendor it would be presumably im just guessing searching all the stuff thats been built in third party vendor not in the underlying data stores and data with third party vendor i assume right,0.993,0.144,0.02,0.836
high,won,company product,sales engineer yeah thats something that weve weve heard from customers and then with with both those tools theres a lot of pre work required on the data side in terms of aggregations and not necessarily first class live connections back to things like third party vendorname  okay that makes sense okay yeah questionsales engineer data management  functions name hi this is marriage longer just a quick question on that underlying data structure then i was gonna hold it for a while until you get through here but you brought up the star schemer or what looked like a star scheme on before you dont have to navigate back to it im curious about the amount of data prop that would need to be done to get data into a format so that the tool can sit on it easilysales engineer yeah good good question so company requires relational data but we want the most granular version of that relational data data architecture sales engineer so were pretty scheme agnostic in terms of it could be a star itll be a third party vendor it could be a d normalize table its all a live connection back toremoved   removedthird party vendor sorry in terms of query performance scale all of that stuff company its just generating sequel thats being sent to that platform data management  functions sales engineer so if we say hey maybe id normalized tables performed better in some situations maybe a third party vendor schemer and perform better and other situations were pretty agnostic there its more best practices on the third party vendor side in that case but that is really the main data prep obviously those data cleansing problems we dont want the same name the removed spelled  different ways thats not a company thing right but thats thats the main pieces that needs to be relational but then we want the most granular version of thatname data okay so as long as the relationships exist between the different tables then thats thats good enough or thatsales engineer yeah and you can define them an company as well so were not its not a requirement that you have to define your keys and relationships on the third party vendor side if they are to find their company inherits them thats great but if not you can you can do it easily within the company you as well okay awesome thanks data architecture nameclient when you say like a live connection to the third party vendor data right because i think about your your presumably grabbing some big everything data set and then holding in memory right because no were not actuallysales engineerclient okay so i think about third party vendor every time i run a query you know on like a reasonably large set of data that we have right data architecture ends removed   removedclient its its like you know a minute and a half or something to return a new ones like every time i type in a keyword like how does it stop it from having to wait that longsales engineer and trust and when you talk about large data sets what just to give us a sense of the volume what whats like a common row count yeah so the,0.9991,0.229,0.017,0.755
high,won,pricing,clientclientclient the example i was thinking of there might be some other optimization but were talking about a claims data set so its like removed and you know its like  columns or somethinggotcha soaccount executive whats the other customers that we work data architecture sales engineersales engineerwith were doing things in the tens removed on third party vendor and it really comes down to size and your warehouse appropriately on the third party vendor side okayclientsales engineer so we have i mean we have common things like with removed or most common data sets about removed were on a large warehouse in that case who name orremoved   removedin the tens of billions were on it to excel removed or in a couple of removed and its on the medium warehouse so its kind of the beauty of third party vendor is that it it cant scale and as long as we get that right then the company experience is going to beclient okay so it seems like theres theres a couple of like a few seconds maybe like five seconds sometimes its just like spin up time right and for the queries is that do you guys face that too is there any you guys adrian kind of optimization to keep that from happening or anything like that that comes down toaccount executivesales engineer the third party vendor configuration and the auto suspend blank so i mean some customers have a very small auto suspend where it says hey if we dont use this whereas  seconds then spend it down and in that case yeah you do have to wait sometimes for the warehouse to turn on for other customers its more common to do five to  minutes so its not i mean its it comes back to how often its really being used got it so yeah its interesting theseaccount executiveclient too many questions for the for for it actually sending the query back to third party vendor does it do it as you type each selection in your search bar or does it wait a few seconds and then often does it send a query back to third party vendor,0.9971,0.188,0.014,0.797
high,won,demo,sales engineer  yeah let me pull up a different instance xaccount executive hellosales engineer thats actually a a search or a go button client who asked i thinkclientremoved   removed yes thank yousales engineer yeah so as you search lets see theres this go button here so if i say sales weekly or next day state nothing happens until actually hit go and its at that point that a query i sent her third party vendor,0.8834,0.166,0.0,0.834
high,won,company product,client okay okay i had missed that it too thanksnamealways a live connection right im assuming with the databaseyeahsales engineernameand then whatever dashboard we are making using this analysis or we like theres no point off plenty to you flush out anything right because of static so id be saving their dashboard somewhere or is it just for explorationsales engineer no so if i jump back here along the way i saved a few of my analysis that i found that i created this prompt to dashboard so this is how you would save your searches or save your dashboards everything here is a live connection so i just pulled up this dashboard its sent queries to third party vendor to grab the latest data so theres no refresh schedule its always grabbing the latest data and then if i want to share it out with user as i say hey i want to share it out with this business user they can either edit it or view it depending on security requirements teams et cetera data architecture sales engineer and then again when they pull it up its just a new query to snuff like if the data is cached and third party vendor which it often is if the data hasnt changed then itll just hit that cash and i wont use new third party vendor resources flight youre always grabbing the whatever is the latest and stuff like data management  functions removed   removedname so is it a prerequisite to always have a relational model behind needs toclientsales engineer be relational data so columns and rows in terms of the model itself as long as there are relationships between the data that you want to search across thats thats really all you need that might make sense for me to shift gears and walkthrough what that looks like data drill down client okay do you make a new query when you as youre just as youre skipping over do you make a new query when you drill down or is that like youre pulling those granular data so you dont need to keep askingsales engineer it is a new query so like this where were at the weekly level so if i drill down here it only return the weekly data and if i want to drill down by each group thats a new query for that specific weekclientthe exact data thats being shown is whats being pulledsales engineeryeah exactlyclientso how your fan to look different they use a like a different access data architecture clientpeople maybe in different departments have different access so client is search your search of data its like a query from the database side all pass the parameter to query send it to a databasesales engineerremoved   removed yeah did depending on how your third party vendor is setup we can authenticate a couple of ways and we can actually hit on that as i as i go through there so im actually going to walkthrough adding a connection and two data architecture ends account executivesales engineer or im not sure who asked that question but theres two ways we can authenticate the third party vendor so one which ill be for the demo here is using a service account so in this case its a typical service count that you would see another bi applications and as users are accessing data its using these credentials now you can apply security on top of that if you wanted to find row and column level security within company as well as object level security so does someone have access to a dashboard thats built off of this do they have access to this data et cetera the other way is using off and pass through security so if you have roles and security defined for each user in third party vendor then you can set it up to use a loss and then when each person logged into company its passing through their third party vendor credentials and so its respecting any security thats been defined at the third party vendor laterclient okay second your controller security and our base site in the third party vendorsales engineer thats one option yeah so you can do it there or you can do it all at the company layersales engineer so what im gonna do here is this is really defining the scope of what i want to make available to be searched in company data management  functions sales engineer so we have a pretty simple schemer here one fact to dimension tables im just hitting the check box because i know i wanna use all these fields in here and when i create the connection company not moving the data so again were not moving in the in memory and the company company simply go into third party vendor looking to see if the relationships are already defined on the third party vendor side in terms of any primary foreign key constraints and were creating that connection to third party vendor here as you can see it says hey weve made the connection you canremoved   removedjust search now and i can say yeah i want to search now but as you can see on the left here its still database so we started facts dimensions if still three separate objects for each table and as an technical user this is still not quite what i mean i want just that single clean entity like we saw earlier in the demo and thats where the final layer of creation comes into play im gonna tag these just to make them a little bit easier to find formation so this is a demo system and you can see here we can see it says joints to this is because in our case the relationships were already defined on the third party vendor side thats so company found them that hey we see that product that would be related to product id we could always add a joined condition if we needed to as well if it wasnt defined in third party vendor or if we need to add some other logic but from here were going to build the worksheet so we have those three tables and i know i want to grab fields from each of these three tables data management  functions ends sales engineer so well come in here and check the box on those and im an admin on this demo system says content and heres where i can choose exactly what columns are going to be exposed so maybe product id is not something that the end users need access to so ill just choose product name product type im gonna keep this pretty simple here for the sake of time well say grab sales grab data so you can see on the left here originally and my table we had   fields and we wanna make it simple and consumable for end users so im just gonna choose to expose the six fields now if we need to add something that wasnt necessaccount executively defined in third party vendor simple profit example we could come in here and create our own logic for sales minus item price and then to an end user thats going to be exposed so its going to appear just like any field so ill save this here call it our prompt worksheet and really the finalaccount executiveclientsales engineer layer of curation here is just making them more consumable for the business so you can see we still have those original column names will rename things im not gonna go through all of these here but what the column names just as important is this concept of synonyms and this is where we can define how do we allow a user to ask the same question using five different terms so in this case its retail data maybe people also called product name item or prod name or product or skew so this curation process allows the user to then when they go to search they can ask the same question in five  different ways based on the synonyms that have been curated course theres other things like data types choosing your default number formats all that stuff butremoved   removed from here the theaccount executivesales engineer final steps would be applying any security that needs to be applied in terms of pro column level and then sharing with the appropriate user base so in production youre going to have multiple worksheets depending on different subject areas different groups and and well say hey this credit card group they should be the ones that have access to this dataset and they can begin searching once i share it out agenda sales engineer really were back at a similar points where we work here where itll help you that clean single thing on the left and they can begin asking questions like i had done in the front part of the demo im gonna pause here got about  minutes left so really any questions or areas you guys want to go deeper on agenda ends client data drill down client the things that i was interested in from an end user capabilities perspective was being able to not only you know drill down different ways that are interesting for the end users purposes but once you get down to a data set that you are interested in then you can add in additional fields at that point which is very different from a lot of our other tools usually you have to predefine that or you have to have a data set thats you know all inclusive and also you probably most of the time except for some of the honda tools that we had previously you have to define everything ahead of time so could you show them like maybe an example of drilling down and then getting to a point to where you have the data set that you think you need but then youre able to add in other fields that would support that dataset yeah data drill down ends sales engineer yeah sure so we have a search like this just go link the stay by specialty here so lets say i want to drill down on gastro here yeah we want to look at it by patient name or even if were here we wanna first drill to the practitioner and thenremoved   removedlets say we want to drill in on this particular practitioner rose to the h group of our removed data drill down sales engineer and then i want to drill here to the patient name so at this point weve drilled the something fairly granular to mass where we have this list of  unique removed but now i want to add that additional context so i could come over here and say i want to add their gender on add their employment status i want to add what outstanding tests they had what their pre release risk was so we can add this context and then you can also shift the contacts however you want so we could say hey this is interesting but instead of this stage group i wanna look at my  to  each group so you can really pivot however you want once youre out that that granular point data management  functions name my two are you asking this what are what are you asking of the column is not even available on the left hand side or join he made with those three tables if its there and the four tables what will happen then what are you asking that already were asking just on the left hand side delivered by that particular column which was not there beforeclient i think hes demonstrating what i was asking about you ask another good question i mean i dont think soname something like we gave part spar these to whatever the fact them dimension tables and its bringing from that tonight name my customer comes in he set forth field which is not even in these three tables data management  functions ends name then we need to go back our that again so basically what we are trying to do here also we are trying to make another small model here tonight which we think about customer might like and then by joining those four or five tables we are answering questions different questions dynamic oceans using that particular model or under only and we are still supplying that new model its not like im saying like hey go to my cdw and its open right sorry go to my third party vendor or just open and this is my question im still trying to bring a subset model out thereremoved   removedsales engineer  yeah yeah thats a fair statement industry issues sales engineer youre still defining scope through this semantic layer in company and the whole point is create the worksheet or the semantic layer and company do that upfront and that then opens a search wherenamesales engineer a user can ask a  questions compared too spending all that time building a dashboard that may answer   questions industry issues ends name you know kind of extending that particular part of that i just brought up im curious if that is a capability in company there once you have greater down to a certain level and lets say you have all those removed name is it possible to automatically pass thats just astronomical into another data set where you can probably put something completely different like for example medication for expertise on im on im on vacation and is it possible to some other modelssales engineer so meaning if we can be this point have these  removed could we grab these values and pass them somewhere else my hearing right yeahnamesales engineer got it yeah theres a couple of ways you could do that i mean you could simply say i want to grab these removed copy them out and then if we had a even a different data source but it had patient name we could come in here say i wanna apply a filter at our values paste them in so that would just allow you to quickly grab that subset throw it in something else we also have some pretty cool stuff coming in our roadmap allowing you to push these things to other applications so if you said hey theres a really interesting subset of removed i want to pass it toremoved   removedwhatever some system that has an api that would also be a custom thing where you could say hey there could be another option here that says send this data to x and it could pass the data programmatically so so a couple of ways that you could do that there okaynameclient yeah it might be nice to have an option in there too you know at a you know cross over to another data model then company like you could have the output of one data model be the input of another one or somethingsales engineer  what would be an example that mapclient what kind of where you get down to a data set for one purpose but then you want to know more revenue data about you know the impact of this particular area so then youd want to take that patient population or visits or whatever they are and time and if theres a way to tied into the other data set then you could you know just daisy chain datasetsclient so you can imagine like so imagine like data sets that dont that i have like a like have a many to many situation like so like imagine like hostile encounters and sorry about the screen and labs right and so like youd be like hey so lets talk about all the removed who had a longer than expected like this day and like what kind of labs that have been having not necessarily during that encounter id be like what other kind of lives i mean is there anything thats like similar in their labs right and so youre like is this hinge have a patient but like youre talking about very different data models and it almost certainly be different worksheets yeah data management  functions sales engineer things that we do in terms of of modeling this where you can use multiple fact tables the common the remove create a space like on the payroll side of common one is i want to fact tables claims that one fact table of calls that they were inbound to our system as long as there is some short of shared dimension or a set of shared dimension models you could create a search experience that allows people to go cross domain like that so thats something certainly thats possible obviously you gotta be cognizant of the data model and the many too manyremoved   removed data management  functions ends sales engineer so people dont get wrong answers but certainly a common use case to go multi fact like like youre logged into their trust themclient this has been i have a question like in terms of creating a new field lets say there is a you want to create a new column that does not exist on the left but the in order to create a new field that you need to utilize like a multiple fields on the left what together was a formula or something at the end of the output of this new field its a yes or no would you be able to to do it heresales engineer yeah so would it be like for example if the gender is female and outstanding test is yes then defined it as x that type of thing right rightclientsales engineer yeah you you can absolutely do that so you can add a formula here you can see theres all the the typical functions and aggregations and operations so you could absolutely say hey if gender equals female hellonamesales engineer and outstanding tasks equals yes and equal sign and submit an ex else why so short answer yes long answer thats thats a quick example of how it would be doneclient another question was that from last meeting that the and also on your documents via were seeing that the the data you you go to third party vendor and then the index are stored in memory in company data architecture clientremoved   removed is that still the case because i heard earlier that the youre saying theres no data being stored in company its all live connectionso in terms ofqueriesclientaccount executivesales engineerthemselves those are all live connection so this entire results set that was a live query sent to third party vendor the only thing thats stored on the company side is this search index so when i go to type in lets see when i go to type in thl and this thompson memorial instantly pops up as a suggestion data architecture ends sales engineer this was the search index that was built in company and so for each field it has the unique values stored in the company search index and its purely for the purpose of this search suggestion when someone types in and it does the auto complete and thats something you can configure on a column by column basis and then how often those indexes are refreshed search types nameclient so what kinds of index are these are these the an lp kinds of index or this is some other kinds of index thats being storedsales engineer in terms of like the technology that its actuallyclient what what kinds of technology is behind those indexsales engineerremoved   removed gotcha i dont i dont have the technical details of of what the actual technology is its something that our founders built they were at third party vendor before coming over to company so a comclientation of of what they built based on that but its not like a database index its something that stores these these values but we can get details,0.9999,0.149,0.012,0.839
high,won,deployment options,name exactly what that entails from a technical standpointclient yeah so related to index so these if the index contents the sensitive data like a phr the but thats actually stored in company how are we gonna is there a way we can protect thatsales engineer yeah theres theres multiple things there so for one theres different deployment models of company so theres i fully hosted managed version of company company cloud but then theres company software you guys can deploy within your walls so no data leaves the client environment so it can be deployed in your as your environment private network for example deployment options ends sales engineer and then on the company side regardless of where its deployed you can control exactly what is being index so patient name for example would be something that most likely would not be indexed unless you want to allow users to to search on it and the suggestions all respect each individual persons role so theres a combination of things that can be implemented there and then depending on where i company us deployed it can definitely be done in a secure manner and thats exactly what we do for all our other remove customersokay thanksclientsales engineernow weve got about three minutes left are you wanna drinkaccount executiveyeah yeah interesting did you have one more quick question before weremoved   removedclient hi name i think the opposite of what name was asking about like you know defining logic and that kind of stuff on this because i want to do the opposite i want to like import as much logic from a central repository,0.985,0.138,0.013,0.849
high,won,company product,client instead its like what are the options you talked about primary key foreign key defined in third party vendor what are the options for importing other things about like relationships and meditate and that kind of stuff that were doing as little as possible here slit everythings like shared between systemssales engineerhello whats what are other things that you would want to import name data management  functions ends client so extending them to be a good examplesales engineergotcha and where what system do you have those in todayclientso like an enterprise data catalogue be where would that would be like i think its x i excellent is were what were using gotcha so hellosales engineerclientsales engineer find the right tab here so theres not a native just one click integration with those other tools we have integrations coming with data catalogs all of these data models and samantha players are all some called company model and language so this can be programmatically done where it can be integrated with those tools assuming they have api to pull something like a sending them a little bit more custom work today and then in the future ill be more seamless just the rest ofremoved   removedclient yeah well it doesnt look too bad yeah okayyeah it is city yeahsales engineeraccount executiveperfect thanks sales engineer so i know were just about at the end the end of our session here today i will follow up so that everyone has my contact info,0.9854,0.151,0.011,0.838
high,won,onboarding,account executive were happy to schedule additional sessions from a next steps perspective were working with name name our threat name a handful of others on the security front as well as a proof of technology i believe the vision here is a two way of approach the first being on the identified or not even be identified but non client data to test the technology to test the performance to test the functionality and then from there we move into more of a paid pilot model agenda account executive if the if we check those boxes so more to come over time here but please feel free to reach out to us with any questions if you want to do an additional session if you have a deeper dive you wanna do were happy to schedule those as well,0.9618,0.166,0.015,0.819
high,won,wrap-up,account executive also if you support any user groups that you think would be interested in seeing this please let us know were happy to do a demo for themclient  well thank you very much for thisclient yeah thanks one thing on the on your comment there about an additional user groups we want to try to funnel that through our hr leadership i think because we wanna make sure that were not exposing data or you know processes or plans you know too early in the process so please work through you know either bread or arc or i or other leaders in hr before reaching outremoved   removed perfect that sounds great thanks for the demoaccount executiveclientaccount executive alright thanks everyone i appreciate the timeclient  yeah thank you okay thank youthe end,0.9942,0.363,0.0,0.637
high,won,small talk,hows it going clientgood how are yougood happy mondayhows your monday to you small talk clientsales engineerclientsales engineerclientsales engineerclientsales engineerclienttranscriptwe are constantly working to improve the quality of our english transcriptions as is the case throughout the industry its not as accurate as our english transcriptionswhere are you actually locatedcitygood deal good dealokay what about yousales engineerremoved  removed im up in city cool yeah cool client ive only ive only been there once beautiful city sales engineer yeah its funny my girlfriends sister is moving down to city this weekend and im kind of like i id like to you know a change of pace and you know maybe checkout city for a year to make a good dayclient yeah i went up to city back in  so long time ago now and i just remember i was trying to like go to some club in city but my sneakers were like kinda dirty i want to let mesales engineer  well its just like this thats nice is to clean manclientsales engineer thats something like european nightclub rules i havent heard that and since ive beenclient hi time ago though so i dont go to clubs anymore hi account executive hi hi client how are you good how are youaccount executiveclientaccount executive good just catching up on the club scene in city to cityclientremoved  removed it was try and i always try and back then you know when i was  trying to figure it all out yeah it didnt make itsales engineer isnt as a lively you know club scene but i dont know how it can be surprised pacific beach maybe notclient yeah maybeaccount executive pretty flip flop friendly most places in citysales engineer yeahaccount executive hello dan i thought i honest is in city are you also in city i am yeah me toosales engineerclientaccount executiveclient cool yep im right off of the  over there by the  fiveaccount executive nice okay yeah im off of like cant in city cool more nerve correct yeah yeahclient coolaccount executiveremoved  removed are you from cityclient  originally from stateaccount executive okay i actually lived in state for a while i have recent i was in boston for like five and a half years okay and then moved back to city beginning of last year and i will say its good to be backclient yeah i cant do the cold weather anymore so im fully acclimatedaccount executive yeah i know its quite its quite an adjustment i had never been to state if i lived there i was in so state my entire life in our first winter was one of the like record years of snow so we really like got a good case study that way of course here yeah its brutal yeahclientaccount executive great well i appreciate your time and its really nice meeting with you i know we set this up just with the purpose of for one making the introduction had least joining probably are you on hisales engineer hello yes sorry im a littleaccount executive no worries good morning how are you im doing well how are yousales engineeraccount executive good good so were just kicking off introductions so dan like i had mentioned and sorry do you go by name clientremoved  removed client client okayclientaccount executiveclient  really nameer but i do go by clientaccount executive okay so client so i one of our account executives like i said im im here in city not too far from you with company customer base account executive and then ill let client and and sales engineer introduce themselves as wellsales engineer yeah yep based in the city and i work as a solutions engineer so supporting account executive from a technical standpoint so helping make sure youre all set up and yeah connected to the data properly and making sure company you know run smoothly and you know show you some cool things you can do with it as well awesome sounds agenda clientsales engineer great yeah and im im hardly ruder good to meet you client i am also in i see here company been around for about six months and i focus on the free trial so any questions you have and free trial run into anything im happy to get hands on with you on your data and answer any questions so itd be good to meet you customer base client nice to meet you as well i can give you guys a little update on myself and then kind of talk to you about why i engage company if youd like perfect so im assistant director of informatics over here and i own this removed i manageremoved  removedmost or im the program owner of our data warehouse solution for the company so our enterprise data warehousing solution i also am in charge of our erp system our procurement system and a whole bunch of other applications were very small it organization for a relatively bigger company in terms of it to the rest of the company and so i think its a total of  people in the it department for  person company customer base ends client so we were a lot of hats we i honest removed for the last  years has been a a rare drug sees research facility and so theyve tried to find its just a bunch of ph d scientists that tried to find the drugs that help ultra rare disease is so maybe a disease that impacts a removed people in the world you know so very small markets but huge impact this year the company bought a commercial entity so they want to be whats considered a fifth co a fully integrated removed commercial organization and so that means were gonna make the drugs and were going to sell it and so with selling the drugs comes a whole bunch of new requirements reporting requirements additional warehousing and then you know were trying to work out all the entry points all the io to our data warehouse so import inputs and outputs right now our output for an enterprise visualization tool is third party vendor thats not going away our our executive director is a huge removed guy,0.9997,0.235,0.027,0.738
